0,33.5
1,33.5
2,33.5
3,32.5
4,32.5
5,32.5
6,32.5
7,32.5
8,32.5
9,32.5
10,32.5
11,32.5
12,32.5
13,32.5
14,32.5
15,32.5
16,32.5
17,32
18,32.5
19,32.5
20,32.5
21,32.5
22,32.5
23,32.5
24,32.5
25,32.5
26,33
27,33
28,33
29,33
30,33
31,33
32,33
33,33
34,34
35,34
36,34
37,34
38,34
39,34
40,34.5
41,34.5
42,34.5
43,35
44,35
45,35.5
46,35.5
47,35.5
48,35.5
49,36
50,36.5
51,36.5
52,36.5
53,36.5
54,37
55,37
56,37.5
57,37.5
58,38
59,38
60,38
61,38.5
62,38.5
63,39
64,39
65,39
66,40
67,40
68,40
69,40.5
70,41
71,41
72,41
73,41.5
74,42
75,42.5
76,42.5
77,43
78,43.5
79,43.5
80,43.5
81,44.5
82,44.5
83,44.5
84,45.5
85,45.5
86,46
87,46.5
88,46.5
89,47
90,47.5
91,48
92,48
93,48.5
94,49
95,49
96,50
97,50
98,50
99,51
100,51
101,51.5
102,52
103,52
104,52.5
105,53
106,53.5
107,53.5
108,54
109,54.5
110,54.5
111,55
112,55.5
113,55.5
114,56
115,56.5
116,56.5
117,56.5
118,57.5
119,57.5
120,57.5
121,58.5
122,58.5
123,58.5
124,59
125,59.5
126,59.5
127,59.5
128,60.5
129,60.5
130,60.5
131,61
132,61.5
133,61.5
134,61.5
135,62
136,62.5
137,62.5
138,62.5
139,63.5
140,63.5
141,63.5
142,64
143,64.5
144,64.5
145,65
146,65.5
147,65.5
148,66
149,66
150,66.5
151,67
152,67
153,67.5
154,68
155,68
156,68
157,69
158,69
159,69
160,70
161,70
162,70
163,70.5
164,71
165,71
166,71.5
167,72
168,72
169,72.5
170,72.5
171,73
172,73
173,73.5
174,73.5
175,74
176,74
177,74.5
178,74.5
179,74.5
180,75
181,75
182,75.5
183,75.5
184,75.5
185,76
186,76
187,76
188,76
189,76
190,76.5
191,76.5
192,76.5
193,76.5
194,76.5
195,76.5
196,76.5
197,76.5
198,76.5
199,76.5
200,76.5
201,76.5
202,76.5
203,76.5
204,76.5
205,76.5
206,76.5
207,76.5
208,76.5
209,76.5
210,76.5
211,76.5
212,76.5
213,76.5
214,76.5
215,76.5
216,76.5
217,76.5
218,76.5
219,76.5
220,76.5
221,76.5
222,75.5
223,75.5
224,75.5
225,75.5
226,75.5
227,75.5
228,75.5
229,75.5
230,75.5
231,75
232,75
233,75
234,74.5
235,74.5
236,74.5
237,74.5
238,74
239,73.5
240,73.5
241,73.5
242,73
243,73
244,73
245,72.5
246,72.5
247,72
248,71.5
249,71.5
250,71
251,71
252,70.5
253,70
254,70
255,69.5
256,69
257,69
258,68.5
259,68
260,67.5
261,67
262,67
263,66.5
264,66
265,65.5
266,65
267,65
268,64.5
269,64
270,64
271,63
272,63
273,62.5
274,62
275,62
276,61
277,61
278,61
279,60
280,60
281,59
282,59
283,59
284,58
285,58
286,58
287,57
288,57
289,57
290,56.5
291,56
292,56
293,55.5
294,55
295,55
296,54.5
297,54.5
298,54
299,53.5
300,53.5
301,53
302,53
303,52.5
304,52.5
305,52.5
306,51.5
307,51.5
308,51.5
309,50.5
310,50.5
311,50.5
312,50
313,50
314,49.5
315,49.5
316,49
317,48.5
318,48
319,48
320,48
321,47
322,47
323,47
324,46
325,46
326,46
327,45.5
328,45
329,44.5
330,44
331,44
332,43.5
333,43.5
334,42.5
335,42.5
336,42
337,41.5
338,41.5
339,40.5
340,40.5
341,40.5
342,39.5
343,39.5
344,39.5
345,38.5
346,38.5
347,38.5
348,37.5
349,37.5
350,37.5
351,37
352,36.5
353,36.5
354,36.5
355,35.5
356,35.5
357,35.5
358,35
359,34.5
360,34.5
361,34.5
362,34.5
363,33.5
364,33.5
